week,day_range,content_id,deliverable,format,owner_role,reviewer_role,publication_target,dependency,distribution,success_check
1,1-7,BASELINE,Validate buyer questions workshop terms capacity and publishing readiness,Research,Content lead,Business lead and engineering lead,Internal brief,Customer records and technical plan,None,Assumptions recorded and baseline defined
2,8-14,A1,Legacy system integration architecture guide,Hub article,Writer,Integration engineer,/blog/legacy-system-integration,Path-based publishing readiness and approved brief,LinkedIn diagram and sales reference,Direct URL and reviewed article with R1 link when available
3,15-21,R1,Integration inventory template,Accessible worksheet,Writer,Integration engineer,/resources/integration-inventory,Published A1,LinkedIn worksheet excerpt,Usable blank template and fictional completed row
4,22-28,A2,Refresh partner-payment API article,Hub article refresh,Writer,Payments or integration engineer,/blog/partner-payment-apis,Provider-specific source review and accountable author,LinkedIn failure scenario and sales reference,Original date retained and true update date shown
5,29-35,R2,Partner-payment failure test checklist,Checklist,Writer,Payments or integration engineer,/resources/payment-api-failure-checklist,Reviewed A2,LinkedIn checklist excerpt,Expected behavior and evidence fields included
6,36-42,A3,APIs events or batch pattern comparison,Comparison article,Writer,Integration architect,/blog/api-events-batch-comparison,A1 and engineer-reviewed tradeoffs,LinkedIn decision table,Links to A1 A2 and relevant service
7,43-49,W1,Workshop agenda preparation and deliverables,Decision page update,Content lead,Business lead and delivery lead,/contact/workshop,Confirmed offer terms and enquiry behavior,Website contextual links,Accurate terms and draft clicks separated from received enquiries
8,50-56,A4,Hybrid cloud migration dependency guide,Hub article,Writer,Cloud engineer,/blog/hybrid-cloud-migration-dependencies,A1 R1 and platform details,LinkedIn dependency diagram and sales reference,Includes cutover rollback and cloud enquiry path
9,57-63,REVIEW,Review discovery and enquiry evidence; prepare production-ownership example,Measurement and preparation,Content lead,Analytics owner and DevOps engineer,Internal review,Search Console and enquiry log if available,None,Observed evidence separated from hypotheses
10,64-70,A5,Production-ready integrations ownership guide,Hub article,Writer,DevOps engineer,/blog/production-ready-integrations,Confirmed operating model and reviewed example,LinkedIn ownership table,Monitoring escalation and handover responsibilities explained
11,71-77,R3,Integration handover checklist,Template,Writer,DevOps engineer,/resources/integration-handover-checklist,Published A5,LinkedIn checklist excerpt,Blank checklist and fictional example available
12,78-84,A6,Scope an API integration project and evaluate a partner,Buying guide,Writer,Delivery lead and sales lead,/blog/api-integration-project-scope,Confirmed engagement process and scope drivers,LinkedIn supplier questions and sales reference,No invented prices outcomes or timelines
13,85-90,QUARTER_REVIEW,Review qualified conversations and choose next quarter topics,Strategy review,Content lead,Business lead and engineering lead,Internal roadmap,Publication records analytics and received enquiry log,None,Next priorities tied to observed evidence and available capacity
